player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
62925,강진성,SSG,0.261,58,145,134,10,35,6,1,3,52,17,1,1
51868,고명준,SSG,0.000,2,4,4,0,0,0,0,0,0,0,0,0
72523,고효준,SSG,-,2,0,0,0,0,0,0,0,0,0,0,0
71837,김강민,SSG,0.226,70,166,137,20,31,3,0,2,40,7,2,3
53844,김건웅,SSG,0.000,1,3,3,0,0,0,0,0,0,0,0,0
62864,김민식,SSG,0.218,122,318,266,28,58,9,1,5,84,34,17,2
76802,김성현,SSG,0.268,112,354,310,35,83,14,0,1,100,27,13,2
53865,김정민,SSG,0.500,8,2,2,1,1,0,0,0,1,0,0,0
66917,김찬형,SSG,0.229,36,53,48,6,11,3,0,1,17,5,2,0
73211,노경은,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
50868,류효승,SSG,0.000,3,4,3,0,0,0,0,0,0,0,0,0
62869,문승원,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
67893,박성한,SSG,0.266,128,529,459,53,122,19,0,9,168,47,7,4
69839,백승건,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
61895,서진용,SSG,-,3,0,0,0,0,0,0,0,0,0,0,0
66864,안상현,SSG,0.241,58,66,58,10,14,3,0,0,17,2,3,0
53827,에레디아,SSG,0.323,122,523,473,76,153,29,0,12,218,76,1,1
60558,오태곤,SSG,0.239,123,305,272,37,65,14,1,7,102,28,8,3
64861,이건욱,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
76812,이재원,SSG,0.091,27,48,44,3,4,1,0,0,5,2,1,1
67807,이정범,SSG,0.172,15,33,29,2,5,0,0,0,5,4,0,2
63440,이흥련,SSG,0.071,16,17,14,1,1,0,0,1,4,2,1,0
62611,임준섭,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
50820,전의산,SSG,0.201,56,153,134,11,27,6,0,4,45,21,0,1
51865,조형우,SSG,0.185,62,133,119,9,22,4,1,2,34,12,4,1
69804,채현우,SSG,-,1,0,0,1,0,0,0,0,0,0,0,0
69802,최경모,SSG,0.150,28,20,20,6,3,0,0,0,3,1,0,0
68856,최민준,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
68805,최상민,SSG,0.235,51,41,34,5,8,0,0,0,8,3,2,1
75847,최정,SSG,0.297,128,552,471,94,140,31,0,29,258,87,1,6
76267,최주환,SSG,0.235,134,478,426,48,100,24,0,20,184,63,1,3
68868,최준우,SSG,0.267,38,69,60,5,16,1,0,0,17,6,0,1
50854,최지훈,SSG,0.268,117,503,462,65,124,19,8,2,165,30,8,1
62884,최항,SSG,0.286,21,35,28,3,8,1,0,1,12,6,1,1
51817,추신수,SSG,0.254,112,462,382,65,97,17,1,12,152,41,0,2
69813,하재훈,SSG,0.303,77,229,201,35,61,10,1,7,94,35,2,2
62895,한유섬,SSG,0.273,109,388,333,29,91,15,2,7,131,55,2,7
