player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
65515,강로한,롯데,1,1,0,1,0.0,0,0
79358,강윤구,롯데,1,0,0,0,-,0,0
65514,강태율,롯데,19,0,0,0,-,2,0
69517,고승민,롯데,92,5,1,4,20.0,0,0
63543,구승민,롯데,1,0,0,0,-,0,0
67504,김민수,롯데,57,1,0,1,0.0,1,0
69500,김민수,롯데,5,0,0,0,-,0,0
52514,김세민,롯데,4,0,0,0,-,0,0
62528,김원중,롯데,1,0,0,0,-,0,0
65506,김재유,롯데,1,0,0,0,-,1,0
52547,렉스,롯데,56,3,3,0,100,5,0
65643,문경찬,롯데,1,0,0,0,-,0,0
62802,박승욱,롯데,100,10,8,2,80.0,5,0
64501,배성근,롯데,22,0,0,0,-,0,0
69508,신윤후,롯데,49,4,3,1,75.0,0,0
64022,안중열,롯데,33,1,0,1,0.0,0,0
79608,안치홍,롯데,132,9,7,2,77.8,4,0
52591,윤동희,롯데,4,0,0,0,-,0,0
71564,이대호,롯데,142,0,0,0,-,6,0
69453,이학주,롯데,91,6,2,4,33.3,2,1
68504,이호연,롯데,88,4,3,1,75.0,4,0
68507,장두성,롯데,53,5,4,1,80.0,3,1
78513,전준우,롯데,120,9,6,3,66.7,2,0
68518,정보근,롯데,95,1,1,0,100,4,0
60523,정훈,롯데,91,5,4,1,80.0,2,0
52516,조세진,롯데,39,1,0,1,0.0,0,0
64717,지시완,롯데,75,0,0,0,-,0,0
68362,추재현,롯데,33,1,1,0,100,3,0
52526,피터스,롯데,85,11,7,4,63.6,4,1
68525,한동희,롯데,129,0,0,0,-,4,0
52568,한태양,롯데,38,1,1,0,100,2,0
50500,황성빈,롯데,102,22,10,12,45.5,0,3
