player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
63123,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4
50203,권휘,두산,0.0,1,1,1,0,0,0,0,0,0,0,0,0
77263,김강률,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
66112,김기연,두산,0.278,95,283,252,31,70,10,0,5,95,31,4,3
69238,김대한,두산,0.133,61,89,75,10,10,1,0,1,14,7,2,2
51230,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
67246,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0
68200,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
65269,김민혁,두산,0.2,5,8,5,1,1,0,0,1,4,2,0,0
63257,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1
74206,김재호,두산,0.302,57,154,126,20,38,5,0,1,46,11,7,1
78224,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9
69207,김태근,두산,0.087,43,27,23,7,2,0,0,0,2,1,1,0
54263,김택연,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
68269,김호준,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
52025,라모스,두산,0.305,80,348,311,43,95,19,3,10,150,48,1,6
54219,류현준,두산,0.667,2,3,3,0,2,1,0,0,3,1,0,0
64468,박계범,두산,0.2,24,20,15,5,3,1,0,0,4,0,0,0
53204,박민준,두산,0.000,5,5,5,0,0,0,0,0,0,0,0,0
65639,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
66928,박준영,두산,0.226,65,212,186,25,42,9,2,7,76,28,1,1
67266,박치국,두산,-,3,0,0,0,0,0,0,0,0,0,0,0
66203,서예일,두산,0.222,24,20,18,2,4,0,0,0,4,1,0,0
64011,안승한,두산,0.2,4,5,5,0,1,0,0,0,1,0,0,0
64153,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3
76232,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6
50293,양찬열,두산,0.125,11,12,8,2,1,0,0,0,1,1,0,0
54205,여동건,두산,0.4,9,11,10,2,4,0,0,0,4,0,0,0
50208,오명진,두산,0.000,2,2,1,0,0,0,0,0,0,1,0,0
53296,윤준호,두산,0.25,3,4,4,1,1,0,0,0,1,1,0,0
69205,이교훈,두산,-,5,0,0,0,0,0,0,0,0,0,0,0
52204,이병헌,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
66291,이영하,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
67207,이유찬,두산,0.277,103,262,231,39,64,11,0,3,84,23,7,1
54236,임종성,두산,0.000,1,4,3,0,0,0,0,0,0,0,0,0
50244,장규빈,두산,0.25,3,4,4,1,1,0,0,0,1,0,0,0
63202,장승현,두산,0.2,9,23,20,1,4,2,0,0,6,0,1,0
54214,전다민,두산,0.333,25,34,27,10,9,2,0,0,11,1,0,0
68205,전민재,두산,0.246,100,276,248,34,61,5,1,2,74,32,4,3
79231,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8
68242,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
54295,제러드,두산,0.326,38,169,144,29,47,16,1,10,95,39,0,1
66209,조수행,두산,0.265,130,382,328,60,87,5,2,0,96,30,14,4
51264,최승용,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
52206,최지강,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
79240,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6
61643,홍건희,두산,-,5,0,0,0,0,0,0,0,0,0,0,0
66233,홍성호,두산,0.286,15,15,14,0,4,2,0,0,6,1,0,0
