player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
66201,고봉재,두산,27.0,1,0,0,0,0,-,1 1/3,5,1,0,0,0,4,4,3.75
68220,곽빈,두산,4.1,21,4,7,0,0,0.364,98 2/3,78,7,79,12,96,50,45,1.59
50203,권휘,두산,2.66,24,0,0,0,1,-,20 1/3,16,0,14,2,15,6,6,1.48
77263,김강률,두산,2.09,50,3,0,21,3,1.000,51 2/3,54,2,25,1,41,15,12,1.53
51294,김도윤,두산,0.0,1,0,0,0,0,-,1,0,0,0,0,2,0,0,0.0
67246,김명신,두산,4.3,58,3,2,0,2,0.600,67,72,6,14,6,43,37,32,1.28
68200,김민규,두산,6.07,31,2,3,0,1,0.400,56 1/3,64,9,28,4,39,40,38,1.63
69104,남호,두산,10.13,5,0,1,0,0,0.000,2 2/3,3,0,3,0,2,3,3,2.25
51234,로켓,두산,2.98,21,9,9,0,0,0.500,124,132,5,42,12,112,44,41,1.4
67259,문원,두산,6.75,2,0,0,0,0,-,1 1/3,2,1,2,0,1,1,1,3.0
51257,미란다,두산,2.33,28,14,5,0,0,0.737,173 2/3,135,11,63,1,225,49,45,1.14
63292,박소준,두산,5.73,22,0,4,0,0,0.000,59 2/3,69,3,29,3,33,42,38,1.64
50205,박웅,두산,5.4,10,0,0,0,0,-,11 2/3,12,0,4,3,7,7,7,1.37
65639,박정수,두산,7.42,12,3,3,0,0,0.500,30 1/3,38,5,14,3,26,27,25,1.71
67266,박치국,두산,4.09,23,2,1,0,8,0.667,22,21,2,11,1,20,11,10,1.45
66160,유재유,두산,10.8,4,0,0,0,0,-,3 1/3,4,2,5,0,1,4,4,2.7
79229,유희관,두산,7.71,15,4,7,0,0,0.364,63,107,10,24,3,23,57,54,2.08
62242,윤명준,두산,4.73,45,1,0,0,1,1.000,45 2/3,53,3,20,4,26,28,24,1.6
69205,이교훈,두산,10.8,11,0,0,0,0,-,8 1/3,13,2,3,1,8,10,10,1.92
64805,이승진,두산,3.91,47,1,4,2,13,0.200,48 1/3,41,3,31,2,28,24,21,1.49
66291,이영하,두산,6.29,35,5,6,1,2,0.455,78 2/3,81,9,57,1,53,58,55,1.75
76329,이현승,두산,1.93,38,5,1,0,7,0.833,23 1/3,16,1,6,0,20,6,5,0.94
62951,이형범,두산,0.0,4,0,0,0,0,-,2 2/3,2,0,5,1,2,2,0,2.63
74513,장원준,두산,6.75,32,0,1,1,4,0.000,18 2/3,20,1,18,2,8,15,14,2.04
50296,조제영,두산,10.97,6,0,1,0,0,0.000,10 2/3,18,1,10,1,5,13,13,2.63
50298,최세창,두산,0.0,1,0,0,0,0,-,1 1/3,1,0,1,0,0,0,0,1.5
51264,최승용,두산,3.93,15,0,0,0,2,-,18 1/3,20,3,10,1,16,10,8,1.64
67263,최원준,두산,3.3,29,12,4,0,0,0.75,158 1/3,160,15,37,10,113,65,58,1.24
67263,최원준,두산,3.3,29,12,4,0,0,0.750,158 1/3,160,15,37,10,113,65,58,1.24
68260,현도훈,두산,12.46,5,0,0,0,0,-,8 2/3,9,1,13,0,9,12,12,2.54
61643,홍건희,두산,2.78,65,6,6,3,17,0.500,74 1/3,65,3,27,0,82,23,23,1.24
