선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
구창모,NC,2.96,11,1,3,0,0,0.250,51 2/3,38,4,16,0,56,19,17,1.05
김시훈,NC,4.44,61,4,3,3,12,0.571,52 2/3,57,3,34,1,49,32,26,1.73
김영규,NC,3.06,63,2,4,0,24,0.333,61 2/3,45,2,23,1,48,22,21,1.1
김진호,NC,2.76,19,2,1,0,9,0.667,16 1/3,15,0,10,1,22,5,5,1.53
김태현,NC,4.43,16,1,0,0,0,1.000,20 1/3,17,4,13,1,14,13,10,1.48
류진욱,NC,2.15,70,1,4,0,22,0.200,67,41,1,32,1,62,19,16,1.09
배민서,NC,6.75,6,0,0,0,0,-,6 2/3,10,0,2,1,4,8,5,1.8
송명기,NC,4.83,35,4,9,0,0,0.308,104 1/3,106,12,47,11,65,64,56,1.47
신민혁,NC,3.98,29,5,5,0,0,0.500,122,122,14,25,6,97,63,54,1.2
심창민,NC,2.7,5,0,1,0,0,0.000,3 1/3,2,0,5,1,5,2,1,2.1
이용준,NC,4.3,24,3,4,0,0,0.429,67,60,5,44,2,50,39,32,1.55
이용찬,NC,4.13,60,4,4,29,0,0.500,61,53,5,19,3,51,28,28,1.18
이우석,NC,0.0,1,0,0,0,0,-,2/3,0,0,1,0,0,0,0,1.5
이재학,NC,4.54,15,5,5,0,0,0.500,67 1/3,55,6,33,5,43,36,34,1.31
이준호,NC,4.83,17,3,2,0,0,0.600,31 2/3,32,3,15,4,19,22,17,1.48
임정호,NC,4.68,65,4,4,0,15,0.500,50,51,3,17,4,49,30,26,1.36
임지민,NC,13.5,2,0,0,0,0,-,1 1/3,2,0,4,0,3,2,2,4.5
전사민,NC,4.76,9,0,2,1,0,0.000,17,17,1,14,2,6,10,9,1.82
정구범,NC,7.82,4,0,1,0,0,0.000,12 2/3,16,3,12,0,6,11,11,2.21
조민석,NC,4.06,35,1,0,0,4,1.000,31,33,2,14,3,28,15,14,1.52
채원후,NC,8.1,3,0,0,0,0,-,3 1/3,4,0,4,0,2,3,3,2.4
최성영,NC,4.86,18,5,4,0,0,0.556,66 2/3,77,6,32,5,38,37,36,1.64
태너,NC,2.92,11,5,2,0,0,0.714,64 2/3,58,6,13,1,47,26,21,1.1
페디,NC,2.0,30,20,6,0,0,0.769,180 1/3,137,9,35,4,209,46,40,0.95
하준수,NC,0.0,1,0,0,0,0,-,1,0,0,2,0,1,0,0,2.0
하준영,NC,4.59,57,1,0,0,2,1.000,49,52,4,19,2,49,25,25,1.45
한재승,NC,4.66,11,0,1,0,0,0.000,9 2/3,9,2,5,0,10,5,5,1.45
