선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
권희동,NC,123,4,4,0,100,3,1
김범준,NC,5,0,0,0,-,0,0
김성욱,NC,129,14,10,4,71.4,0,1
김세훈,NC,7,0,0,0,-,0,0
김수윤,NC,9,0,0,0,-,0,0
김영규,NC,1,0,0,0,-,0,0
김재열,NC,1,0,0,0,-,0,0
김주원,NC,134,22,16,6,72.7,5,0
김한별,NC,40,0,0,0,-,0,0
김형준,NC,119,0,0,0,-,3,1
김휘집,NC,140,7,4,3,57.1,4,2
데이비슨,NC,131,1,0,1,0.0,4,0
도태훈,NC,100,1,1,0,100,1,0
류진욱,NC,1,0,0,0,-,0,0
박건우,NC,89,4,4,0,100,0,0
박민우,NC,121,39,32,7,82.1,6,4
박세혁,NC,82,4,4,0,100,1,0
박시원,NC,55,3,3,0,100,1,1
박영빈,NC,19,3,2,1,66.7,0,0
박한결,NC,28,0,0,0,-,0,0
서호철,NC,141,4,1,3,25.0,9,0
손아섭,NC,84,8,6,2,75.0,4,0
송명기,NC,1,0,0,0,-,0,0
송승환,NC,3,0,0,0,-,0,0
신용석,NC,2,0,0,0,-,0,0
안중열,NC,10,0,0,0,-,0,0
오영수,NC,20,0,0,0,-,0,0
천재환,NC,89,10,8,2,80.0,3,0
최정원,NC,65,10,7,3,70.0,4,0
한석현,NC,40,3,2,1,66.7,1,0
한재승,NC,1,0,0,0,-,0,0
한재환,NC,7,0,0,0,-,0,0
